Horodatage,Duree_fermeture(s)
2025-04-07 12:10:26,0.50
2025-04-07 12:10:26,0.66
2025-04-07 12:10:28,0.40
2025-04-07 12:10:28,0.11
2025-04-07 12:10:28,0.07
2025-04-07 12:10:29,0.06
2025-04-07 12:10:29,0.30
2025-04-07 12:10:30,0.19
2025-04-07 12:10:30,0.36
2025-04-07 12:10:31,0.25
2025-04-07 12:10:31,0.22
2025-04-07 12:10:31,0.43
2025-04-07 12:10:32,0.74
2025-04-07 12:10:33,0.54
2025-04-07 12:10:34,0.06
2025-04-07 12:10:35,1.26
2025-04-07 12:10:45,10.13,Crise potentielle
2025-04-07 12:10:46,0.38
2025-04-07 12:10:46,0.32
2025-04-07 12:10:46,0.07
2025-04-07 12:10:48,1.64
2025-04-07 12:10:49,0.37
2025-04-07 12:11:04,12.81
2025-04-07 12:11:04,0.07
2025-04-07 12:11:04,0.15
2025-04-07 12:11:06,1.55
2025-04-07 12:13:04,1.15
2025-04-07 12:13:06,0.75
2025-04-07 12:13:06,0.44
2025-04-07 12:13:15,3.94
2025-04-07 12:13:15,0.44
2025-04-07 12:13:16,0.12
2025-04-07 12:13:21,5.07
2025-04-07 12:13:22,0.48
2025-04-07 12:13:23,0.18
2025-04-07 12:13:23,0.14
2025-04-07 12:13:24,0.25
2025-04-07 12:13:24,0.07
2025-04-07 12:13:24,0.19
2025-04-07 12:13:28,3.39
2025-04-07 12:13:29,0.06
2025-04-07 12:13:29,0.24
2025-04-07 12:13:29,0.12
2025-04-07 12:13:30,0.06
2025-04-07 12:13:30,0.07
2025-04-07 12:13:30,0.31
2025-04-07 12:13:32,1.51
2025-04-07 12:14:21,1.01
2025-04-07 12:14:21,0.14
2025-04-07 12:14:21,0.06
2025-04-07 12:14:22,0.92
2025-04-07 12:14:29,6.83,Crise potentielle
2025-04-07 12:14:29,0.07
2025-04-07 12:14:30,0.09
2025-04-07 12:14:31,0.07
2025-04-07 12:14:32,0.07
2025-04-07 12:14:33,0.06
2025-04-07 12:14:39,0.37
2025-04-07 12:14:44,0.23
2025-04-07 12:14:46,0.99
2025-04-07 12:14:49,2.27
2025-04-07 12:14:51,1.39
2025-04-07 12:14:56,1.94
2025-04-07 12:14:56,0.25
2025-04-07 12:14:59,0.13
2025-04-07 12:14:59,0.13
2025-04-07 12:15:00,0.63
2025-04-07 12:15:01,0.19
2025-04-07 12:15:03,1.61
2025-04-07 12:15:04,0.92
2025-04-07 12:15:04,0.07
2025-04-07 12:15:05,0.14
2025-04-07 12:15:05,0.08
2025-04-07 12:15:07,0.17
2025-04-07 12:15:07,0.07
2025-04-07 12:15:07,0.07
2025-04-07 12:15:07,0.13
2025-04-07 12:15:08,0.41
2025-04-07 12:15:08,0.28
2025-04-07 12:15:09,0.06
2025-04-07 12:15:09,0.17
2025-04-07 12:15:10,1.00
2025-04-07 12:15:10,0.14
2025-04-07 12:15:11,0.33
2025-04-07 12:15:11,0.00
2025-04-07 12:15:11,0.00
2025-04-07 12:15:11,0.00
2025-04-07 12:15:11,0.09
2025-04-07 12:15:11,0.07
2025-04-07 12:15:12,0.07
2025-04-07 12:15:12,0.06
2025-04-07 12:15:12,0.06
2025-04-07 12:15:12,0.00
2025-04-07 12:15:12,0.00
2025-04-07 12:15:13,0.00
2025-04-07 12:15:13,0.00
2025-04-07 12:15:13,0.00
2025-04-07 12:15:16,0.81
2025-04-07 12:15:17,0.71
2025-04-07 12:15:19,1.74
2025-04-07 12:15:20,0.20
2025-04-07 12:15:21,0.08
2025-04-07 12:15:21,3.84,Crise potentielle
2025-04-07 12:15:23,0.05
2025-04-07 12:15:24,0.07
2025-04-07 12:15:24,0.07
2025-04-07 12:15:24,0.06
2025-04-07 12:15:24,0.06
2025-04-07 12:15:24,0.06
2025-04-07 12:15:24,0.25
2025-04-07 12:15:25,4.32,Crise potentielle
2025-04-07 12:15:25,0.18
2025-04-07 12:15:26,1.16
2025-04-07 12:15:27,0.01
2025-04-07 12:15:27,0.06
2025-04-07 12:15:27,0.07
2025-04-07 12:15:27,0.07
2025-04-07 12:15:27,0.05
2025-04-07 12:15:27,0.00
2025-04-07 12:15:27,0.00
2025-04-07 12:15:28,0.07
2025-04-07 12:15:28,0.08
2025-04-07 12:15:28,0.08
2025-04-07 12:15:28,0.00
2025-04-07 12:15:29,0.87
2025-04-07 12:15:30,0.12
2025-04-07 12:15:30,3.45,Crise potentielle
2025-04-07 12:15:31,1.27
2025-04-07 12:15:31,0.24
2025-04-07 12:15:32,0.06
2025-04-07 12:15:32,0.06
2025-04-07 12:15:32,0.06
2025-04-07 12:15:33,6.12,Crise potentielle
2025-04-18 12:15:35,3.25,Crise potentielle
2025-04-23 12:15:35,12.25,Crise potentielle
2025-04-25 12:15:35,5.78,Crise potentielle
2025-04-27 12:15:35,4.91,Crise potentielle
2025-04-28 08:54:13,4.97,Crise potentielle
2025-04-28 08:54:16,3.13,Crise potentielle
